,Actual,Predicted
0,11.249207284371794,10.688686877077718
1,11.410959182380418,11.438830350516714
2,11.491558815228338,11.663873392548412
3,11.76253176856978,12.18897382395571
4,11.00821444220409,10.08857209832652
5,12.1094185630931,12.489031213331309
6,6.846943139585379,8.588285151448526
7,12.277560402201253,12.639059908019108
8,11.201742735932854,10.388629487702119
9,9.01602720232985,9.038371235511924
10,13.661761297557458,13.614246423489803
11,10.081298953852196,9.413442972231422
12,13.40104456313818,13.389203381458106
13,14.228351067476636,14.214361202241001
14,10.445550181223961,9.638486014263123
15,11.227055083747713,10.463643835046017
16,14.111979661135546,14.064332507553202
